ObjectID,GlobalID,Specimen Preservation Method,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,0d853040-59d5-43b3-8d89-87b31a70a79c,driedAndPressed,95a27c8c-b9f0-4168-8a6e-2f6c00f5ca46,2/14/2024 7:38:41 PM,ricklevy,2/14/2024 7:38:41 PM,ricklevy
2,4b721db9-f411-434a-8eb9-5963e6355a39,dried,95a27c8c-b9f0-4168-8a6e-2f6c00f5ca46,2/14/2024 7:38:41 PM,ricklevy,2/14/2024 7:38:41 PM,ricklevy
3,d318b077-cb6e-47fc-8cf4-b7a947dbd480,noTreatment,95a27c8c-b9f0-4168-8a6e-2f6c00f5ca46,2/14/2024 7:38:41 PM,ricklevy,2/14/2024 7:38:41 PM,ricklevy
