ObjectID,GlobalID,Scientific Name,Common Name,Rank,ParentGlobalID,CreationDate,Creator,EditDate,Editor
1,856bb665-5ba9-4f20-8582-1b76e06b8dbc,Plantae,Plant,kingdom,95a27c8c-b9f0-4168-8a6e-2f6c00f5ca46,2/14/2024 7:38:41 PM,ricklevy,2/14/2024 7:38:41 PM,ricklevy
2,526b6faf-84a6-4a6d-82cb-7e68a1ac7b8f,Fungi,Fungi,kingdom,95a27c8c-b9f0-4168-8a6e-2f6c00f5ca46,2/14/2024 7:38:41 PM,ricklevy,2/14/2024 7:38:41 PM,ricklevy
